HOIST ID,HOIST TYPE,TOTAL LOAD ,TRIM,DEC X,X,DEC Y,Y,,CONTROL CABLE,
AUD-22,1/2 Ton,348 lbs,"0""",1.753,"1'9""",-60.195,"-60'2""",,50,1
9-1,1/2 Ton,433 lbs,"30'0""",-78.762,"-78'9""",-59.971,"-60'0""",Truss Sling 24x14in,50,1
11-2,1 Ton,1171 lbs,"32'0""",-23.146,"-23'2""",-59.990,"-60'0""",Truss Sling 24x14in,25,1
14-4,1 Ton,582 lbs,"13'6""",21.912,"21'11""",-59.994,"-60'0""",Truss Sling 12x12in,50,1
8-1,1/2 Ton,480 lbs,"32'11""",-63.709,"-63'9""",-59.917,"-59'11""",Truss Sling 24x14in,75,1
9-3,1/2 Ton,382 lbs,"30'0""",-48.674,"-48'8""",-59.874,"-59'10""",Truss Sling 24x14in,50,1
15-1,1 Ton,447 lbs,"27'0""",30.002,"30'0""",-57.061,"-57'1""",Truss Sling 12x12in,50,1
14-1,1 Ton,577 lbs,"13'6""",13.939,"13'11""",-55.305,"-55'4""",Truss Sling 12x12in,50,1
14-3,1 Ton,580 lbs,"13'6""",27.521,"27'6""",-50.459,"-50'6""",Truss Sling 12x12in,50,1
29-10,1 Ton,861 lbs,"28'4""",139.842,"139'10""",-50.157,"-50'2""",Truss Sling 20.5x20.5in,50,1
13-1,1/2 Ton,446 lbs,"28'0""",-7.909,"-7'11""",-49.922,"-49'11""",Truss Sling 12x12in,75,1
3-3,1 Ton,767 lbs,"30'0""",-94.838,"-94'10""",-49.947,"-49'11""",Truss Sling 20.5x20.5in,50,1
7-1,1/2 Ton,338 lbs,"32'0""",-78.805,"-78'10""",-49.956,"-49'11""",Truss Sling 24x14in,75,1
22-4,1/2 Ton,413 lbs,"30'0""",135.041,"135'0""",-49.798,"-49'10""",Truss Sling 24x14in,50,1
14-2,1 Ton,575 lbs,"13'6""",19.548,"19'7""",-45.769,"-45'9""",Truss Sling 12x12in,50,1
15-2,1 Ton,647 lbs,"27'0""",39.963,"40'0""",-40.127,"-40'2""",Truss Sling 12x12in,75,1
6-2,1/2 Ton,302 lbs,"30'0""",-78.557,"-78'7""",-40.149,"-40'2""",Truss Sling 24x14in,75,1
22-3,1 Ton,978 lbs,"30'0""",106.669,"106'8""",-40.049,"-40'1""",Truss Sling 24x14in,25,1
11-3,1 Ton,1141 lbs,"32'0""",-11.617,"-11'7""",-40.017,"-40'0""",Truss Sling 24x14in,25,1
8-2,1 Ton,1182 lbs,"32'11""",-52.437,"-52'5""",-39.894,"-39'11""",Truss Sling 24x14in,50,1
7-2,1 Ton,764 lbs,"32'0""",-68.735,"-68'9""",-39.939,"-39'11""",Truss Sling 24x14in,50,1
AUD-12,1/2 Ton,601 lbs,"0""",45.551,"45'7""",-30.136,"-30'2""",,50,1
22-2,1/2 Ton,655 lbs,"30'0""",77.616,"77'7""",-30.065,"-30'1""",Truss Sling 24x14in,50,1
AUD-13,1/2 Ton,348 lbs,"0""",40.600,"40'7""",-30.110,"-30'1""",Truss Sling 12x12in,50,1
6-1,1/2 Ton,324 lbs,"30'0""",-88.735,"-88'9""",-29.985,"-30'0""",Truss Sling 24x14in,50,1
DH-1,DH,216 lbs,"32'0""",-118.302,"-118'4""",-29.953,"-29'11""",Truss Sling 12x12in,-,1
AUD-7,1/2 Ton,861 lbs,"0""",-99.124,"-99'1""",-29.725,"-29'9""",,50,1
3-2,1 Ton,701 lbs,"30'0""",-110.946,"-110'11""",-29.395,"-29'5""",Truss Sling 20.5x20.5in,75,1
5-1,1/2 Ton,434 lbs,"32'0""",-84.107,"-84'1""",-29.353,"-29'4""",Truss Sling 24x14in,50,1
22-1,1/2 Ton,244 lbs,"30'0""",60.229,"60'3""",-24.090,"-24'1""",Truss Sling 24x14in,50,1
1-6,1 Ton,288 lbs,"28'6""",-118.302,"-118'4""",-24.031,"-24'0""",Truss Sling 20.5x20.5in,75,1
16-2,1/2 Ton,235 lbs,"30'0""",45.680,"45'8""",-20.184,"-20'2""",Truss Sling 20.5x20.5in,50,1
29-11,1/2 Ton,349 lbs,"28'4""",130.648,"130'8""",-20.080,"-20'1""",Truss Sling 20.5x20.5in,25,1
29-12,1 Ton,976 lbs,"28'4""",139.843,"139'10""",-19.971,"-20'0""",Truss Sling 20.5x20.5in,25,1
7-3,1 Ton,1223 lbs,"32'0""",-57.633,"-57'8""",-19.980,"-20'0""",Truss Sling 24x14in,25,1
11-4,1 Ton,1004 lbs,"32'0""",-0.073,"-1""",-20.019,"-20'0""",Truss Sling 24x14in,50,1
3-1,1 Ton,350 lbs,"30'0""",-105.975,"-106'0""",-19.929,"-19'11""",Truss Sling 20.5x20.5in,100,1
8-3,1 Ton,1088 lbs,"32'11""",-41.209,"-41'3""",-19.952,"-19'11""",Truss Sling 24x14in,25,1
DH-2,DH,270 lbs,"32'0""",-118.302,"-118'4""",-19.953,"-19'11""",Truss Sling 12x12in,-,1
16-1,1/2 Ton,391 lbs,"30'0""",35.187,"35'2""",-15.669,"-15'8""",Truss Sling 20.5x20.5in,75,1
2-1,1/2 Ton DR,880 lbs,"32'5""",-109.973,"-110'0""",-13.930,"-13'11""",Truss Sling 12x12in,25,1
AUD-2,1/2 Ton DR,722 lbs,"0""",-108.294,"-108'4""",-0.942,"-11""",,50,1
28-1,1/2 Ton,260 lbs,"24'0""",130.167,"130'2""",-10.162,"-10'2""",Truss Sling 24x14in,50,1
16-5,1/2 Ton,388 lbs,"28'0""",53.021,"53'0""",-10.108,"-10'1""",Truss Sling 12x12in,50,1
16-6,1/2 Ton,436 lbs,"28'0""",61.203,"61'2""",-10.115,"-10'1""",Truss Sling 12x12in,50,1
11-5,1 Ton,996 lbs,"32'1""",7.874,"7'10""",-9.962,"-10'0""",Truss Sling 24x14in,50,1
10-5,1 Ton,725 lbs,"28'0""",21.870,"21'10""",-9.967,"-10'0""",Truss Sling 12x12in,50,1
16-3,1/2 Ton,463 lbs,"27'0""",40.137,"40'2""",-9.968,"-10'0""",Truss Sling 12x12in,50,1
10-4,1 Ton,516 lbs,"28'0""",1.894,"1'11""",-9.968,"-10'0""",Truss Sling 12x12in,25,1
10-3,1 Ton,1475 lbs,"28'0""",-8.731,"-8'9""",-9.969,"-10'0""",Truss Sling 12x12in,25,1
5-2,1 Ton,1090 lbs,"32'0""",-73.086,"-73'1""",-10.015,"-10'0""",Truss Sling 24x14in,25,1
1-7,1 Ton,867 lbs,"28'6""",-110.023,"-110'0""",-9.957,"-9'11""",Truss Sling 20.5x20.5in,50,1
10-2,1 Ton,1032 lbs,"28'0""",-28.140,"-28'2""",-9.958,"-9'11""",Truss Sling 12x12in,50,1
2-2,1/2 Ton DR,501 lbs,"32'5""",-107.564,"-107'7""",-9.836,"-9'10""",Truss Sling 12x12in,25,1
DH-3,DH,369 lbs,"32'0""",-118.279,"-118'3""",-9.759,"-9'9""",Truss Sling 12x12in,-,1
DH-5,DH,557 lbs,"31'8""",-76.412,"-76'5""",-0.490,"-6""",Truss Sling 12x12in,-,1
1-1,1 Ton,554 lbs,"28'6""",-118.279,"-118'3""",-4.719,"-4'9""",Truss Sling 20.5x20.5in,50,1
AUD-1,1/2 Ton DR,665 lbs,"0""",-105.646,"-105'8""",-2.500,"-2'6""",,50,1
AUD-9,1/2 Ton DR,527 lbs,"0""",-74.651,"-74'8""",-0.110,"-1""",Truss Sling 12x12in,50,1
,,,,,,,,,,
